Category,Installs
GAME,13878924415
COMMUNICATION,11038276251
TOOLS,8001772915
PRODUCTIVITY,5793091369
SOCIAL,5487867902
PHOTOGRAPHY,4649147655
FAMILY,4427941505
VIDEO_PLAYERS,3926902720
TRAVEL_AND_LOCAL,2894887146
NEWS_AND_MAGAZINES,2369217760
ENTERTAINMENT,2113660000
BOOKS_AND_REFERENCE,1665969576
PERSONALIZATION,1532494782
SHOPPING,1400348785
HEALTH_AND_FITNESS,1144022512
SPORTS,1096474498
BUSINESS,697164865
LIFESTYLE,503823539
MAPS_AND_NAVIGATION,503281890
FINANCE,455348734
WEATHER,361100520
EDUCATION,352952000
FOOD_AND_DRINK,211798751
DATING,140926107
ART_AND_DESIGN,114338100
HOUSE_AND_HOME,97212461
AUTO_AND_VEHICLES,53130211
LIBRARIES_AND_DEMO,52995910
COMICS,44981150
MEDICAL,38193177
PARENTING,31521110
BEAUTY,27197050
EVENTS,15973161
