,Category,Score_1,Score_2,Score_3,Score_4,Total_Score
0,GAME,33,29,31,33,126
1,FAMILY,27,32,33,31,123
2,PRODUCTIVITY,30,27,24,29,110
3,TOOLS,31,28,26,23,108
4,PHOTOGRAPHY,28,23,29,25,105
5,LIFESTYLE,16,31,32,20,99
6,FINANCE,14,33,30,21,98
7,PERSONALIZATION,21,25,28,22,96
8,MEDICAL,4,30,27,30,91
9,COMMUNICATION,32,20,23,16,91
10,HEALTH_AND_FITNESS,19,19,20,32,90
11,SPORTS,18,21,25,26,90
12,TRAVEL_AND_LOCAL,25,18,18,24,85
13,BUSINESS,17,26,17,19,79
14,EDUCATION,12,14,21,28,75
15,BOOKS_AND_REFERENCE,22,24,11,14,71
16,ENTERTAINMENT,23,8,16,17,64
17,DATING,10,16,10,27,63
18,VIDEO_PLAYERS,26,11,15,5,57
19,SOCIAL,29,13,6,7,55
20,WEATHER,13,17,22,2,54
21,SHOPPING,20,6,8,18,52
22,MAPS_AND_NAVIGATION,15,15,19,3,52
23,FOOD_AND_DRINK,11,9,14,15,49
24,NEWS_AND_MAGAZINES,24,5,7,13,49
25,AUTO_AND_VEHICLES,7,12,12,11,42
26,ART_AND_DESIGN,9,7,9,12,37
27,PARENTING,3,10,13,10,36
28,EVENTS,1,22,5,4,32
29,LIBRARIES_AND_DEMO,6,4,4,8,22
30,HOUSE_AND_HOME,8,1,1,9,19
31,COMICS,5,3,3,1,12
32,BEAUTY,2,2,2,6,12
