"Category","total_profit"
FAMILY,113679845.36
LIFESTYLE,57583939.4
GAME,40688636.85
FINANCE,25726678.98
PHOTOGRAPHY,8547767.7
PERSONALIZATION,6796947.56
MEDICAL,5957535.67
TOOLS,5464820.59
SPORTS,4706211.95
PRODUCTIVITY,4313374.95
COMMUNICATION,4247364.5
WEATHER,4181380.0
EDUCATION,2403980.0
HEALTH_AND_FITNESS,1426068.9
MAPS_AND_NAVIGATION,1240789.0
TRAVEL_AND_LOCAL,1151504.4
BUSINESS,1050543.25
ENTERTAINMENT,798000.0
VIDEO_PLAYERS,335290.0
FOOD_AND_DRINK,284400.0
PARENTING,249959.0
AUTO_AND_VEHICLES,100148.5
BOOKS_AND_REFERENCE,90226.74
DATING,48461.5
ART_AND_DESIGN,31840.0
SHOPPING,30149.0
NEWS_AND_MAGAZINES,6445.0
SOCIAL,5940.0
EVENTS,109.99
LIBRARIES_AND_DEMO,99.0
HOUSE_AND_HOME,0.0
COMICS,0.0
BEAUTY,0.0
